id,ts,uid,orderid,amount
1,2019/8/1 9:15,10005,20190801091540,48.43
2,2019/8/1 10:00,10001,20190801100006,89.33
3,2019/8/1 10:04,10003,20190801091540,63.86
4,2019/8/1 12:17,10002,20190801121742,3.16
5,2019/8/1 14:05,10001,20190801140515,87.15
6,2019/8/1 14:05,10004,20190801140529,88.65
7,2019/8/2 8:13,10009,20190802081315,36.02
8,2019/8/2 11:14,10009,20190802111424,95.66
9,2019/8/2 13:18,10005,20190802131801,89.36
10,2019/8/2 15:18,10001,20190802151834,71.38
11,2019/8/2 16:00,10005,20190802160014,63.13
12,2019/8/2 17:03,10003,20190802170356,79.33
13,2019/8/2 17:11,10002,20190802171115,56.78
14,2019/8/2 19:05,10008,20190802190518,23.1
15,2019/8/2 20:07,10005,20190802200717,73.82
16,2019/8/2 20:08,10001,20190802200816,82.12
17,2019/8/2 20:10,10003,20190802201002,32.01
18,2019/8/3 9:02,10009,20190803090247,2.7
19,2019/8/3 10:08,10003,20190803100858,50.4
20,2019/8/3 12:08,10009,20190803120818,47.99
21,2019/8/3 14:07,10009,20190803140705,90.05
22,2019/8/3 14:18,10002,20190803141830,39.92
23,2019/8/4 9:07,10004,20190804090709,48.41
24,2019/8/4 10:13,10004,20190804101308,33.63
25,2019/8/4 12:05,10001,20190804120513,39.76
26,2019/8/4 14:07,10001,20190804140729,19.01
27,2019/8/4 14:16,10005,20190804141616,38.64
28,2019/8/5 8:19,10002,20190805081943,75.83
29,2019/8/5 11:12,10002,20190805111224,66.09
30,2019/8/5 11:13,10002,20190805111336,20.86
31,2019/8/5 13:01,10004,20190805130103,72.56
32,2019/8/5 15:05,10003,20190805150532,42.29
33,2019/8/5 16:12,10005,20190805161248,62.04
34,2019/8/5 18:07,10004,20190805180710,84.59
35,2019/8/5 19:17,10003,20190805191729,49.75
36,2019/8/5 20:17,10001,20190805201731,38.52
37,2019/8/6 9:11,10009,20190806091123,55.91
38,2019/8/6 10:02,10002,20190806100212,73.23
39,2019/8/6 12:05,10009,20190806120531,73.56
40,2019/8/6 14:05,10002,20190806140511,1.95
41,2019/8/6 17:01,10003,20190806170150,37.49
42,2019/8/6 18:15,10005,20190806181523,41.96
43,2019/8/7 8:09,10008,20190807080937,80.75
44,2019/8/7 11:05,10002,20190807110520,21.54
45,2019/8/7 13:09,10008,20190807130918,44.38
46,2019/8/7 15:03,10008,20190807150301,37.54
47,2019/8/7 16:09,10005,20190807160957,20.92
48,2019/8/7 17:17,10009,20190807171717,57.67
49,2019/8/7 19:03,10009,20190807190318,50.73
50,2019/8/7 20:08,10002,20190807200808,75.28
51,2019/8/7 20:14,10003,20190807201432,33.16
52,2019/8/8 8:16,10003,20190808081605,81.74
53,2019/8/8 11:12,10007,20190808111203,97.95
54,2019/8/8 13:17,10002,20190808131759,99.61
55,2019/8/8 15:13,10002,20190808151306,77.92
56,2019/8/8 17:07,10007,20190808170710,12.72
57,2019/8/8 18:06,10005,20190808180638,5.71
58,2019/8/9 9:07,10001,20190809090703,95.15
59,2019/8/9 10:11,10009,20190809101113,79.49
60,2019/8/9 12:11,10008,20190809121131,53.36
61,2019/8/9 14:12,10006,20190809141227,65.44
62,2019/8/9 15:02,10007,20190809150204,18.4
63,2019/8/9 16:02,10007,20190809160206,73.55
64,2019/8/9 16:18,10008,20190809161842,56.85
65,2019/8/9 17:05,10003,20190809170516,33.72
66,2019/8/9 18:02,10002,20190809180203,14.14
67,2019/8/9 19:01,10003,20190809190105,90.97
68,2019/8/9 19:06,10002,20190809190617,30.26
69,2019/8/9 20:13,10004,20190809201337,90.04
70,2019/8/10 8:02,10007,20190810080224,14.37
71,2019/8/10 11:12,10002,20190810111243,4.09
72,2019/8/10 13:18,10004,20190810131853,84.51
73,2019/8/10 15:08,10008,20190810150838,42.9
74,2019/8/10 15:10,10004,20190810151032,89
75,2019/8/10 16:10,10001,20190810161007,5.73
76,2019/8/10 17:06,10009,20190810170641,31.54
77,2019/8/10 17:08,10008,20190810170853,86.5
78,2019/8/10 18:03,10003,20190810180306,22.59
79,2019/8/10 19:10,10003,20190810191026,68.86
80,2019/8/10 19:14,10002,20190810191433,68.07
81,2019/8/11 15:11,10007,20190811151111,52.76
82,2019/8/12 15:16,10007,20190812151638,61.9
83,2019/8/13 15:14,10002,20190813151443,46.87
